# NIST X-ray attenuation tables (physics.nist.gov/PhysRefData/XrayMassCoef).
# Verified 2026-09-13 against the NIST website: all 92 elements and
# Air match row for row to the published 4 significant figures.
# One row per tabulated energy per element; elements H through U plus Air.
# energy_keV in keV; mass_attenuation and mass_energy_absorption in cm^2/g.
element,energy_keV,mass_attenuation,mass_energy_absorption
Sb,4.3804,1050,990.6
Sb,4.53657,974.3,917.8
Sb,4.6983,893.9,845.7
Sb,4.6983,1029,972.5
Sb,5,884.6,837.7
Sb,6,556.9,530.5
Sb,8,263.1,251.8
Sb,10,145.9,139.6
Sb,15,49.23,46.57
Sb,20,22.68,21.05
Sb,30,7.631,6.755
Sb,30.4912,7.307,6.452
Sb,30.4912,40.73,13.91
Sb,40,20.27,9.789
Sb,50,11.2,6.4
Sb,60,6.879,4.311
Sb,80,3.176,2.173
Sb,100,1.758,1.237
Sb,150,0.6361,0.4312
Sb,200,0.3381,0.2084
Sb,300,0.1677,0.08504
Sb,400,0.1172,0.05288
Sb,500,0.09453,0.04061
Sb,600,0.08153,0.03465
Sb,800,0.0667,0.02896
Sb,1000,0.05797,0.02608
Sb,1250,0.05086,0.02378
Sb,1500,0.04628,0.0223
Sb,2000,0.04105,0.02081
Sb,3000,0.03686,0.02043
Sb,4000,0.03567,0.02118
Sb,5000,0.03559,0.02219
Sb,6000,0.03598,0.02321
Sb,8000,0.03745,0.02509
Sb,10000,0.03921,0.02664
Sb,15000,0.04351,0.0292
Sb,20000,0.04704,0.03038
Sc,1,5238,5231
Sc,1.5,1858,1853
Sc,2,870.6,867.2
Sc,3,292.2,289.6
Sc,4,133.2,131.1
Sc,4.4928,96.87,94.9
Sc,4.4928,814.8,691.1
Sc,5,630.5,543.6
Sc,6,393.3,347.4
Sc,8,182.8,166.1
Sc,10,99.52,91.75
Sc,15,32.02,29.88
Sc,20,14.09,13.11
Sc,30,4.409,3.975
Sc,40,1.969,1.677
Sc,50,1.087,0.8552
Sc,60,0.6932,0.4944
Sc,80,0.3753,0.2132
Sc,100,0.2577,0.1167
Sc,150,0.1619,0.04998
Sc,200,0.131,0.03586
Sc,300,0.1052,0.02997
Sc,400,0.09193,0.02887
Sc,500,0.08305,0.02837
Sc,600,0.07639,0.02795
Sc,800,0.06675,0.02703
Sc,1000,0.05985,0.02603
Sc,1250,0.05347,0.0248
Sc,1500,0.04878,0.0237
Sc,2000,0.04243,0.02202
Sc,3000,0.03554,0.02016
Sc,4000,0.03202,0.01933
Sc,5000,0.02999,0.01897
Sc,6000,0.02878,0.01887
Sc,8000,0.02756,0.019
Sc,10000,0.02715,0.01929
Sc,15000,0.02732,0.02
Sc,20000,0.02804,0.02052
Se,1,2317,2312
Se,1.19825,1512,1506
Se,1.4358,981.4,976
Se,1.4358,4347,4287
Se,1.45586,4057,4002
Se,1.4762,3907,3855
Se,1.4762,5186,5112
Se,1.5,5336,5260
Se,1.6539,4342,4284
Se,1.6539,4915,4849
Se,2,3098,3062
Se,3,1116,1104
Se,4,525.2,518.7
Se,5,289.6,285.1
Se,6,177.3,173.7
Se,8,81.16,78.65
Se,10,44.14,42.21
Se,12.6578,23.18,21.73
Se,12.6578,158.9,85.99
Se,15,103.3,62.7
Se,20,48.18,33.52
Se,30,15.96,12.4
Se,40,7.184,5.796
Se,50,3.864,3.143
Se,60,2.341,1.886
Se,80,1.09,0.8332
Se,100,0.6278,0.4426
Se,150,0.2703,0.1483
Se,200,0.1742,0.07695
Se,300,0.1144,0.04113
Se,400,0.09299,0.03261
Se,500,0.08129,0.02941
Se,600,0.0735,0.02775
Se,800,0.06314,0.02581
Se,1000,0.05619,0.02446
Se,1250,0.04999,0.02306
Se,1500,0.04564,0.02195
Se,2000,0.0401,0.02052
Se,3000,0.03476,0.01947
Se,4000,0.03247,0.01944
Se,5000,0.03145,0.01978
Se,6000,0.03105,0.02025
Se,8000,0.03119,0.0213
Se,10000,0.03186,0.02226
Se,15000,0.03395,0.02394
Se,20000,0.03599,0.02487
Si,1,1570,1567
Si,1.5,535.5,533.1
Si,1.8389,309.2,307
Si,1.8389,3192,3059
Si,2,2777,2669
Si,3,978.4,951.6
Si,4,452.9,442.7
Si,5,245,240
Si,6,147,143.9
Si,8,64.68,63.13
Si,10,33.89,32.89
Si,15,10.34,9.794
Si,20,4.464,4.076
Si,30,1.436,1.164
Si,40,0.7012,0.4782
Si,50,0.4385,0.243
Si,60,0.3207,0.1434
Si,80,0.2228,0.06896
Si,100,0.1835,0.04513
Si,150,0.1448,0.03086
Si,200,0.1275,0.02905
Si,300,0.1082,0.02932
Si,400,0.09614,0.02968
Si,500,0.08748,0.02971
Si,600,0.08077,0.02951
Si,800,0.07082,0.02875
Si,1000,0.06361,0.02778
Si,1250,0.05688,0.02652
Si,1500,0.05183,0.02535
Si,2000,0.0448,0.02345
Si,3000,0.03678,0.02101
Si,4000,0.0324,0.01963
Si,5000,0.02967,0.01878
Si,6000,0.02788,0.01827
Si,8000,0.02574,0.01773
Si,10000,0.02462,0.01753
Si,15000,0.02352,0.01746
Si,20000,0.02338,0.01757
Sm,1,2107,2097
Sm,1.03933,1963,1953
Sm,1.0802,1827,1817
Sm,1.0802,2635,2620
Sm,1.09302,3837,3816
Sm,1.106,5613,5582
Sm,1.106,6852,6814
Sm,1.25312,6641,6605
Sm,1.4198,5262,5234
Sm,1.4198,6072,6039
Sm,1.5,5358,5329
Sm,1.5407,5046,5018
Sm,1.5407,5355,5325
Sm,1.62921,4740,4714
Sm,1.7228,4189,4165
Sm,1.7228,4376,4352
Sm,2,3120,3102
Sm,3,1193,1183
Sm,4,587.3,579.5
Sm,5,335.6,329.1
Sm,6,211.5,205.9
Sm,6.7162,158.7,153.6
Sm,6.7162,433.4,393.3
Sm,7.00767,389.8,354.7
Sm,7.3118,349.6,318.9
Sm,7.3118,475.6,425.5
Sm,7.5213,450.1,398.8
Sm,7.7368,414.1,372.1
Sm,7.7368,477.7,427.6
Sm,8,440.1,395.1
Sm,10,249.9,227.8
Sm,15,86.33,79.72
Sm,20,40.25,37.06
Sm,30,13.65,12.27
Sm,40,6.362,5.532
Sm,46.8342,4.208,3.562
Sm,46.8342,21,6.378
Sm,50,17.74,6.094
Sm,60,11.07,4.872
Sm,80,5.212,2.893
Sm,100,2.901,1.786
Sm,150,1.027,0.6806
Sm,200,0.5192,0.3366
Sm,300,0.2296,0.1326
Sm,400,0.1466,0.0762
Sm,500,0.1112,0.05411
Sm,600,0.09218,0.04334
Sm,800,0.07201,0.03333
Sm,1000,0.06106,0.02862
Sm,1250,0.05271,0.02522
Sm,1500,0.04773,0.02325
Sm,2000,0.0424,0.0215
Sm,3000,0.03868,0.02133
Sm,4000,0.03797,0.02241
Sm,5000,0.03833,0.02372
Sm,6000,0.03912,0.02498
Sm,8000,0.04124,0.02719
Sm,10000,0.04355,0.02896
Sm,15000,0.04899,0.0318
Sm,20000,0.05335,0.03302
Sn,1,8157,8144
Sn,1.5,3296,3287
Sn,2,1665,1657
Sn,3,614.3,607.7
Sn,3.9288,311.4,305.8
Sn,3.9288,928.5,884.5
Sn,4,939.3,894.5
Sn,4.1561,846.9,807.4
Sn,4.1561,1145,1084
Sn,4.30764,1060,1002
Sn,4.4647,971.2,922.1
Sn,4.4647,1117,1059
Sn,5,847.1,806.4
Sn,6,529.4,506.5
Sn,8,250,240
Sn,10,138.4,132.7
Sn,15,46.64,44.13
Sn,20,21.46,19.9
Sn,29.2001,7.76,6.876
Sn,29.2001,43.6,15.14
Sn,30,41.21,14.9
Sn,40,19.42,9.835
Sn,50,10.7,6.314
Sn,60,6.564,4.211
Sn,80,3.029,2.101
Sn,100,1.676,1.189
Sn,150,0.6091,0.4119
Sn,200,0.326,0.199
Sn,300,0.1639,0.08179
Sn,400,0.1156,0.05138
Sn,500,0.09374,0.0398
Sn,600,0.08113,0.03417
Sn,800,0.06662,0.02878
Sn,1000,0.058,0.02601
Sn,1250,0.05095,0.02379
Sn,1500,0.04638,0.02233
Sn,2000,0.04112,0.02085
Sn,3000,0.03686,0.02044
Sn,4000,0.03561,0.02115
Sn,5000,0.03548,0.02213
Sn,6000,0.03583,0.02312
Sn,8000,0.03724,0.02496
Sn,10000,0.03895,0.02649
Sn,15000,0.04315,0.02901
Sn,20000,0.04662,0.03018
Sr,1,3494,3487
Sr,1.5,1347,1341
Sr,1.9396,720.7,715.2
Sr,1.9396,2864,2807
Sr,2,2589,2539
Sr,2.0068,2571,2521
Sr,2.0068,3577,3501
Sr,2.10895,3201,3134
Sr,2.2163,2842,2786
Sr,2.2163,3241,3176
Sr,3,1525,1500
Sr,4,729.7,718.1
Sr,5,405.8,398.8
Sr,6,249.6,244.6
Sr,8,115,111.8
Sr,10,62.74,60.37
Sr,15,20.79,19.38
Sr,16.1046,17.14,15.85
Sr,16.1046,110.8,52
Sr,20,63.86,36.02
Sr,30,21.57,14.93
Sr,40,9.818,7.346
Sr,50,5.306,4.103
Sr,60,3.214,2.511
Sr,80,1.481,1.135
Sr,100,0.8365,0.6093
Sr,150,0.3369,0.2028
Sr,200,0.2042,0.1013
Sr,300,0.1247,0.04906
Sr,400,0.09811,0.03634
Sr,500,0.08443,0.03156
Sr,600,0.0757,0.02917
Sr,800,0.06447,0.0266
Sr,1000,0.05714,0.02498
Sr,1250,0.05072,0.02342
Sr,1500,0.0463,0.02225
Sr,2000,0.04079,0.02082
Sr,3000,0.03569,0.01995
Sr,4000,0.03365,0.02013
Sr,5000,0.03286,0.02066
Sr,6000,0.03268,0.0213
Sr,8000,0.03317,0.0226
Sr,10000,0.03414,0.02377
Sr,15000,0.03683,0.02578
Sr,20000,0.03927,0.02684
Ta,1,3510,3498
Ta,1.5,1566,1555
Ta,1.7351,1154,1144
Ta,1.7351,1417,1401
Ta,1.76391,2053,2024
Ta,1.7932,3082,3034
Ta,1.7932,3421,3367
Ta,2,3771,3711
Ta,2.194,2985,2939
Ta,2.194,3464,3411
Ta,2.3273,3003,2957
Ta,2.4687,2604,2566
Ta,2.4687,2768,2727
Ta,2.58558,2486,2449
Ta,2.708,2233,2201
Ta,2.708,2329,2296
Ta,3,1838,1812
Ta,4,922.2,907.3
Ta,5,532.8,522.3
Ta,6,338.2,329.9
Ta,8,163.9,157.9
Ta,9.8811,95.99,91.17
Ta,9.8811,244.3,207.3
Ta,10,237.9,202.1
Ta,11.1361,179.1,154
Ta,11.1361,244.9,201.8
Ta,11.4055,239.3,191.7
Ta,11.6815,218.2,181.1
Ta,11.6815,251.8,207.7
Ta,15,134,114.3
Ta,20,63.34,55.32
Ta,30,21.87,19.23
Ta,40,10.25,8.899
Ta,50,5.717,4.854
Ta,60,3.569,2.947
Ta,67.4164,2.652,2.139
Ta,67.4164,11.8,3.379
Ta,80,7.587,2.924
Ta,100,4.302,2.092
Ta,150,1.531,0.9188
Ta,200,0.7598,0.4784
Ta,300,0.3149,0.1915
Ta,400,0.1881,0.1069
Ta,500,0.1352,0.07248
Ta,600,0.1076,0.05545
Ta,800,0.07981,0.0396
Ta,1000,0.06567,0.03235
Ta,1250,0.05545,0.02736
Ta,1500,0.04977,0.02468
Ta,2000,0.04413,0.02245
Ta,3000,0.04057,0.02227
Ta,4000,0.04018,0.02354
Ta,5000,0.04082,0.02499
Ta,6000,0.04188,0.02638
Ta,8000,0.04446,0.02874
Ta,10000,0.04717,0.03058
Ta,15000,0.0535,0.03349
Ta,20000,0.05852,0.03464
Tb,1,2396,2386
Tb,1.11409,1956,1946
Tb,1.2412,1591,1581
Tb,1.2412,2337,2321
Tb,1.25799,3515,3488
Tb,1.275,5023,4984
Tb,1.275,5928,5881
Tb,1.5,5314,5274
Tb,1.6113,4464,4431
Tb,1.6113,5164,5125
Tb,1.68769,4635,4601
Tb,1.7677,4166,4135
Tb,1.7677,4424,4391
Tb,1.86493,3929,3899
Tb,1.9675,3482,3456
Tb,1.9675,3638,3611
Tb,2,3507,3481
Tb,3,1354,1342
Tb,4,669.7,660.7
Tb,5,383.8,376.5
Tb,6,242.3,236.2
Tb,7.514,136.8,131.8
Tb,7.514,365.8,326.6
Tb,8,313.3,281
Tb,8.2516,288.1,259
Tb,8.2516,392.5,344.3
Tb,8.47673,368.4,323.9
Tb,8.708,344.1,303.3
Tb,8.708,397,348.3
Tb,10,281.5,250.2
Tb,15,98.02,89.14
Tb,20,45.88,41.84
Tb,30,15.63,14.02
Tb,40,7.288,6.357
Tb,50,4.064,3.422
Tb,51.9957,3.672,3.068
Tb,51.9957,17.77,5.291
Tb,60,12.23,4.673
Tb,80,5.826,2.986
Tb,100,3.253,1.899
Tb,150,1.151,0.7474
Tb,200,0.5775,0.3736
Tb,300,0.2498,0.147
Tb,400,0.1562,0.08354
Tb,500,0.1167,0.05842
Tb,600,0.09562,0.04614
Tb,800,0.07365,0.03474
Tb,1000,0.06196,0.02942
Tb,1250,0.05321,0.02565
Tb,1500,0.04808,0.02352
Tb,2000,0.04272,0.02166
Tb,3000,0.03908,0.02151
Tb,4000,0.03848,0.02266
Tb,5000,0.03894,0.02402
Tb,6000,0.03981,0.02532
Tb,8000,0.04206,0.02758
Tb,10000,0.04449,0.02937
Tb,15000,0.05017,0.03224
Tb,20000,0.0547,0.03343
Tc,1,5356,5348
Tc,1.5,2092,2085
Tc,2,1044,1037
Tc,2.6769,507.2,501.4
Tc,2.6769,1812,1758
Tc,2.73443,1699,1648
Tc,2.7932,1602,1555
Tc,2.7932,2223,2151
Tc,3,1862,1805
Tc,3.0425,1800,1745
Tc,3.0425,2059,1995
Tc,4,1036,1009
Tc,5,583.6,569.4
Tc,6,361.9,353
Tc,8,168.3,163.5
Tc,10,92.31,89.08
Tc,15,30.76,28.98
Tc,20,14.1,12.9
Tc,21.044,12.29,11.17
Tc,21.044,74.81,30.14
Tc,30,29.93,16.93
Tc,40,13.81,9.075
Tc,50,7.521,5.312
Tc,60,4.571,3.348
Tc,80,2.099,1.568
Tc,100,1.169,0.8572
Tc,150,0.4449,0.288
Tc,200,0.2534,0.1403
Tc,300,0.1418,0.06214
Tc,400,0.1066,0.04257
Tc,500,0.08968,0.03521
Tc,600,0.07935,0.03159
Tc,800,0.06674,0.02797
Tc,1000,0.05876,0.02589
Tc,1250,0.05197,0.02406
Tc,1500,0.0474,0.02276
Tc,2000,0.04189,0.02129
Tc,3000,0.03705,0.02061
Tc,4000,0.03532,0.02103
Tc,5000,0.03482,0.02178
Tc,6000,0.03487,0.02258
Tc,8000,0.03578,0.02415
Tc,10000,0.03712,0.02549
Tc,15000,0.04055,0.02774
Tc,20000,0.04353,0.02884
Te,1,8434,8419
Te,1.003,8380,8365
Te,1.006,8326,8311
Te,1.006,8684,8668
Te,1.5,3608,3598
Te,2,1832,1824
Te,3,679.2,672.6
Te,4,329.7,324
Te,4.3414,267.8,262.5
Te,4.3414,788.2,746
Te,4.47465,750.4,707.8
Te,4.612,699.5,662.9
Te,4.612,944.5,888
Te,4.7728,878.2,823.7
Te,4.9392,806.2,760
Te,4.9392,929.2,874.4
Te,5,901.4,848.7
Te,6,572.1,542.3
Te,8,270.2,257.8
Te,10,150.1,143.3
Te,15,50.78,48.02
Te,20,23.41,21.75
Te,30,7.878,6.997
Te,31.8138,6.738,5.929
Te,31.8138,37.19,12.51
Te,40,20.64,9.48
Te,50,11.45,6.33
Te,60,7.041,4.306
Te,80,3.255,2.195
Te,100,1.801,1.256
Te,150,0.6492,0.4409
Te,200,0.3429,0.2132
Te,300,0.1679,0.08646
Te,400,0.1163,0.05326
Te,500,0.09328,0.04055
Te,600,0.08022,0.0344
Te,800,0.06538,0.02854
Te,1000,0.05669,0.02559
Te,1250,0.04967,0.02327
Te,1500,0.04518,0.02179
Te,2000,0.04009,0.02033
Te,3000,0.03606,0.01998
Te,4000,0.03494,0.02075
Te,5000,0.03492,0.02177
Te,6000,0.03534,0.02279
Te,8000,0.03683,0.02466
Te,10000,0.0386,0.0262
Te,15000,0.0429,0.02873
Te,20000,0.04642,0.02989
Th,1,6614,6600
Th,1.08088,5747,5733
Th,1.1683,4976,4962
Th,1.1683,5048,5034
Th,1.2463,4463,4449
Th,1.3295,3937,3924
Th,1.3295,4017,4003
Th,1.5,3161,3148
Th,2,1742,1729
Th,3,718,707
Th,3.332,567.1,556.5
Th,3.332,1394,1346
Th,3.41048,1304,1260
Th,3.4908,1226,1185
Th,3.4908,1749,1683
Th,4,1253,1208
Th,4.0461,1217,1174
Th,4.0461,1415,1364
Th,4.42089,1137,1098
Th,4.8304,910.3,879.7
Th,4.8304,965.5,933
Th,5,887.8,858.1
Th,5.1823,812.9,785.9
Th,5.1823,847.7,819.6
Th,6,594.5,574.9
Th,8,293.9,283
Th,10,168.9,161.5
Th,15,61.41,57.18
Th,16.3003,49.91,46.11
Th,16.3003,115.6,87.32
Th,17.9166,99.24,69.24
Th,19.6932,69.84,54.92
Th,19.6932,95.27,68.36
Th,20,93.68,67.14
Th,20.4721,88.51,63.83
Th,20.4721,101.8,72.59
Th,30,38.92,30.32
Th,40,18.65,15.03
Th,50,10.52,8.558
Th,60,6.592,5.355
Th,80,3.178,2.526
Th,100,1.83,1.403
Th,109.651,1.465,1.1
Th,109.651,5.336,1.502
Th,150,2.472,1.09
Th,200,1.234,0.6603
Th,300,0.4939,0.2931
Th,400,0.2789,0.1656
Th,500,0.1895,0.1101
Th,600,0.1435,0.08128
Th,800,0.09861,0.05366
Th,1000,0.07709,0.04109
Th,1250,0.06251,0.03269
Th,1500,0.05498,0.02834
Th,2000,0.04812,0.02487
Th,3000,0.04396,0.02411
Th,4000,0.04347,0.02528
Th,5000,0.04421,0.02674
Th,6000,0.04542,0.02817
Th,8000,0.04836,0.0306
Th,10000,0.05149,0.03253
Th,15000,0.05871,0.0355
Th,20000,0.06447,0.03664
Ti,1,5869,5860
Ti,1.5,2096,2091
Ti,2,986,982.4
Ti,3,332.3,329.5
Ti,4,151.7,149.4
Ti,4.9664,83.8,81.88
Ti,4.9664,687.8,568.4
Ti,5,683.8,565.7
Ti,6,432.3,369.1
Ti,8,202.3,179.3
Ti,10,110.7,100.1
Ti,15,35.87,33.11
Ti,20,15.85,14.65
Ti,30,4.972,4.488
Ti,40,2.214,1.904
Ti,50,1.213,0.9737
Ti,60,0.7661,0.5634
Ti,80,0.4052,0.2422
Ti,100,0.2721,0.1312
Ti,150,0.1649,0.05393
Ti,200,0.1314,0.03726
Ti,300,0.1043,0.03007
Ti,400,0.09081,0.02864
Ti,500,0.08191,0.02804
Ti,600,0.07529,0.02756
Ti,800,0.06572,0.02661
Ti,1000,0.05891,0.02561
Ti,1250,0.05263,0.02439
Ti,1500,0.04801,0.0233
Ti,2000,0.0418,0.02166
Ti,3000,0.03512,0.01989
Ti,4000,0.03173,0.01913
Ti,5000,0.02982,0.01884
Ti,6000,0.02868,0.01879
Ti,8000,0.02759,0.01899
Ti,10000,0.02727,0.01933
Ti,15000,0.02762,0.02013
Ti,20000,0.02844,0.02067
Tl,1,5008,4995
Tl,1.5,2259,2247
Tl,2,1231,1219
Tl,2.3893,835.2,824
Tl,2.3893,1136,1115
Tl,2.43673,1582,1546
Tl,2.4851,2049,1999
Tl,2.4851,2364,2303
Tl,2.71062,2207,2150
Tl,2.9566,1958,1910
Tl,2.9566,2267,2210
Tl,3,2188,2135
Tl,3.4157,1591,1553
Tl,3.4157,1687,1647
Tl,3.55698,1530,1495
Tl,3.7041,1392,1360
Tl,3.7041,1452,1419
Tl,4,1212,1185
Tl,5,706.8,690
Tl,6,451.8,439.8
Tl,8,220.8,213.1
Tl,10,126,120.2
Tl,12.6575,69.57,65.21
Tl,12.6575,169.3,135.7
Tl,13.6396,147.3,112.6
Tl,14.6979,113.9,93.56
Tl,14.6979,157.2,120.7
Tl,15,149.7,115.4
Tl,15.3467,141.6,109.7
Tl,15.3467,163.2,125.4
Tl,20,83.61,67.61
Tl,30,29.29,24.67
Tl,40,13.85,11.73
Tl,50,7.751,6.513
Tl,60,4.838,4.003
Tl,80,2.332,1.844
Tl,85.5304,1.976,1.539
Tl,85.5304,8.046,2.264
Tl,100,5.398,2.007
Tl,150,1.957,1.044
Tl,200,0.9696,0.5753
Tl,300,0.3923,0.2393
Tl,400,0.2267,0.1334
Tl,500,0.158,0.08897
Tl,600,0.1226,0.06661
Tl,800,0.08751,0.04557
Tl,1000,0.07031,0.036
Tl,1250,0.05832,0.02955
Tl,1500,0.05187,0.02616
Tl,2000,0.04581,0.02345
Tl,3000,0.0421,0.02309
Tl,4000,0.04175,0.02437
Tl,5000,0.04248,0.02587
Tl,6000,0.04366,0.02731
Tl,8000,0.04647,0.02975
Tl,10000,0.04943,0.03167
Tl,15000,0.05622,0.03463
Tl,20000,0.06162,0.03578
Tm,1,2899,2888
Tm,1.21149,1995,1984
Tm,1.4677,1362,1352
Tm,1.4677,1919,1901
Tm,1.5,3937,3892
Tm,1.5146,4145,4098
Tm,1.5146,4830,4773
Tm,1.68946,4446,4395
Tm,1.8845,3668,3627
Tm,1.8845,4254,4206
Tm,2,3686,3646
Tm,2.0898,3326,3290
Tm,2.0898,3534,3495
Tm,2.19562,3160,3125
Tm,2.3068,2821,2791
Tm,2.3068,2945,2914
Tm,3,1594,1576
Tm,4,794.6,783.1
Tm,5,456.9,448.2
Tm,6,289.2,282
Tm,8,139.7,134.2
Tm,8.648,114.6,109.6
Tm,8.648,299.1,260.6
Tm,9.11959,260.9,228.4
Tm,9.6169,227.4,200.1
Tm,9.6169,310.1,264
Tm,10,283,242
Tm,10.1157,274.5,235.1
Tm,10.1157,316.7,269.7
Tm,15,115.7,102.3
Tm,20,54.53,48.82
Tm,30,18.68,16.63
Tm,40,8.735,7.615
Tm,50,4.867,4.124
Tm,59.3896,3.122,2.562
Tm,59.3896,12,4.721
Tm,60,14.09,4.203
Tm,80,6.741,3.044
Tm,100,3.78,2.033
Tm,150,1.34,0.841
Tm,200,0.6682,0.4283
Tm,300,0.2822,0.1695
Tm,400,0.1722,0.09522
Tm,500,0.1261,0.06544
Tm,600,0.1018,0.05081
Tm,800,0.07693,0.03721
Tm,1000,0.06404,0.03095
Tm,1250,0.05455,0.02658
Tm,1500,0.04912,0.02417
Tm,2000,0.04362,0.02214
Tm,3000,0.04002,0.02199
Tm,4000,0.03954,0.02321
Tm,5000,0.0401,0.02463
Tm,6000,0.04108,0.02598
Tm,8000,0.04352,0.02832
Tm,10000,0.04612,0.03016
Tm,15000,0.05216,0.03305
Tm,20000,0.05698,0.03424
U,1,6626,6612
U,1.0222,6375,6360
U,1.0449,6127,6112
U,1.0449,6519,6504
U,1.15314,5446,5431
U,1.2726,4526,4511
U,1.2726,4589,4575
U,1.35409,4065,4051
U,1.4408,3598,3584
U,1.4408,3668,3654
U,1.5,3382,3368
U,2,1865,1852
U,3,769.2,757.8
U,3.5517,525.7,515.1
U,3.5517,1266,1220
U,3.63859,1188,1142
U,3.7276,1112,1072
U,3.7276,1582,1517
U,4,1329,1277
U,4.3034,1110,1068
U,4.3034,1292,1242
U,5,889.1,856.9
U,5.1822,811.8,782.5
U,5.1822,861.1,830.1
U,5.36198,791.5,763.2
U,5.548,728.2,702.2
U,5.548,759.2,732.2
U,6,628.4,606.2
U,8,310.8,298.9
U,10,179.1,171.1
U,15,65.28,60.84
U,17.1663,46.63,42.93
U,17.1663,107,79.8
U,20,71.06,54.96
U,20.9476,63,49.14
U,20.9476,88.38,62.22
U,21.3487,95.15,59.59
U,21.7574,80.23,57.15
U,21.7574,92.22,64.87
U,30,41.28,31.49
U,40,19.83,15.76
U,50,11.21,9.034
U,60,7.035,5.678
U,80,3.395,2.695
U,100,1.954,1.502
U,115.606,1.378,1.027
U,115.606,4.893,1.382
U,150,2.591,1.083
U,200,1.298,0.6746
U,300,0.5192,0.305
U,400,0.2922,0.1732
U,500,0.1976,0.1152
U,600,0.149,0.08494
U,800,0.1016,0.05574
U,1000,0.07896,0.04241
U,1250,0.0637,0.03351
U,1500,0.05587,0.02891
U,2000,0.04878,0.02523
U,3000,0.04447,0.02434
U,4000,0.04392,0.02546
U,5000,0.04463,0.02689
U,6000,0.04583,0.02829
U,8000,0.04879,0.03068
U,10000,0.05195,0.03259
U,15000,0.05927,0.03552
U,20000,0.06512,0.03662
V,1,6495,6483
V,1.5,2342,2336
V,2,1106,1102
V,3,374.3,371.3
V,4,171.2,168.8
V,5,92.91,90.89
V,5.4651,72.77,70.9
V,5.4651,587,471.7
V,6,468.7,384.1
V,8,221.7,190.8
V,10,121.8,107.7
V,15,39.83,36.27
V,20,17.68,16.2
V,30,5.564,5.015
V,40,2.472,2.14
V,50,1.347,1.098
V,60,0.8438,0.6364
V,80,0.4371,0.2731
V,100,0.2877,0.1469
V,150,0.1682,0.05821
V,200,0.1318,0.03879
V,300,0.1034,0.03019
V,400,0.08965,0.02843
V,500,0.08074,0.0277
V,600,0.07414,0.02717
V,800,0.06466,0.02618
V,1000,0.05794,0.02518
V,1250,0.05175,0.02396
V,1500,0.04722,0.02289
V,2000,0.04115,0.0213
V,3000,0.03466,0.01961
V,4000,0.03141,0.01892
V,5000,0.0296,0.01869
V,6000,0.02855,0.01869
V,8000,0.02759,0.01896
V,10000,0.02738,0.01937
V,15000,0.02786,0.02022
V,20000,0.02877,0.02079
W,1,3683,3671
W,1.5,1643,1632
W,1.8092,1108,1097
W,1.8092,1327,1311
W,1.84014,1911,1883
W,1.8716,2901,2853
W,1.8716,3170,3116
W,2,3922,3853
W,2.281,2828,2781
W,2.281,3279,3226
W,2.4235,2833,2786
W,2.5749,2445,2407
W,2.5749,2599,2558
W,2.69447,2339,2301
W,2.8196,2104,2071
W,2.8196,2194,2160
W,3,1902,1873
W,4,956.4,940.5
W,5,553.4,542.3
W,6,351.4,342.8
W,8,170.5,164.3
W,10,96.91,92.04
W,10.2068,92.01,87.24
W,10.2068,233.4,196.6
W,10.8548,198.3,168.4
W,11.544,168.9,144.4
W,11.544,231.2,188.9
W,11.8186,226.8,179.7
W,12.0998,206.5,169.9
W,12.0998,238.2,194.8
W,15,138.9,117.2
W,20,65.73,56.97
W,30,22.73,19.91
W,40,10.67,9.24
W,50,5.949,5.05
W,60,3.713,3.07
W,69.525,2.552,2.049
W,69.525,11.23,3.212
W,80,7.81,2.879
W,100,4.438,2.1
W,150,1.581,0.9378
W,200,0.7844,0.4913
W,300,0.3238,0.1973
W,400,0.1925,0.11
W,500,0.1378,0.0744
W,600,0.1093,0.05673
W,800,0.08066,0.04028
W,1000,0.06618,0.03276
W,1250,0.05577,0.02761
W,1500,0.05,0.02484
W,2000,0.04433,0.02256
W,3000,0.04075,0.02236
W,4000,0.04038,0.02363
W,5000,0.04103,0.0251
W,6000,0.0421,0.02649
W,8000,0.04472,0.02886
W,10000,0.04747,0.03072
W,15000,0.05384,0.0336
W,20000,0.05893,0.03475
Xe,1,9413,9393
Xe,1.07191,8151,8132
Xe,1.149,7035,7019
Xe,1.149,7338,7321
Xe,1.5,4085,4073
Xe,2,2088,2078
Xe,3,778,770.9
Xe,4,378.7,372.8
Xe,4.7822,240.8,235.5
Xe,4.7822,694.1,652.4
Xe,5,639.2,601.5
Xe,5.1037,604.4,569.3
Xe,5.1037,818.1,763
Xe,5.27536,757.9,707.9
Xe,5.4528,699.1,653.9
Xe,5.4528,806.4,752.7
Xe,6,637.6,597.9
Xe,8,303.2,287.1
Xe,10,169,160.5
Xe,15,57.43,54.2
Xe,20,26.52,24.65
Xe,30,8.93,7.969
Xe,34.5614,6.129,5.352
Xe,34.5614,33.16,10.86
Xe,40,22.7,9.323
Xe,50,12.72,6.54
Xe,60,7.825,4.541
Xe,80,3.633,2.374
Xe,100,2.011,1.376
Xe,150,0.7202,0.4894
Xe,200,0.376,0.2373
Xe,300,0.1797,0.09522
Xe,400,0.1223,0.05761
Xe,500,0.09699,0.04317
Xe,600,0.08281,0.03617
