# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics-option4.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,80,1,10.7,24837157.11
1.7,80,1,10.8,23409734.28
1.7,80,1,10.9,24266187.98
1.7,80,1,11,28833941.01
1.7,80,1,11.1,20554888.64
1.7,80,1,11.2,24266187.98
1.7,80,1,11.3,97350236.47
1.7,80,1,11.4,23980703.41
1.7,80,1,11.5,19698434.95
1.7,80,1,11.6,31974271.22
1.7,80,1,11.7,29690394.7
1.7,80,1,11.8,23695218.85
1.7,80,1,11.9,22553280.59
1.7,80,1,12,24551672.54
1.7,80,1,12.1,23980703.41
1.7,80,1,12.2,25122641.67
1.7,80,1,12.3,18556496.69
1.7,80,1,12.4,24551672.54
1.7,80,1,12.5,21411342.33
1.7,80,1,12.6,25122641.67
1.7,80,1,12.7,24266187.98
1.7,80,1,12.8,21411342.33
1.7,80,1,12.9,23980703.41
1.7,80,1,13,23124249.72
1.7,80,1,13.1,20554888.64
1.7,80,1,13.2,21125857.77
1.7,80,1,13.3,22553280.59
1.7,80,1,13.4,20554888.64
1.7,80,1,13.5,20554888.64
1.7,80,1,13.6,19127465.82
1.7,80,1,13.7,23695218.85
1.7,80,1,13.8,23124249.72
1.7,80,1,13.9,18841981.25
1.7,80,1,14,15701651.04
1.7,80,1,14.1,21125857.77
1.7,80,1,14.2,22553280.59
1.7,80,1,14.3,18556496.69
1.7,80,1,14.4,21411342.33
1.7,80,1,14.5,16558104.74
1.7,80,1,14.6,26264579.93
1.7,80,1,14.7,19412950.38
1.7,80,1,14.8,14274228.22
1.7,80,1,14.9,17129073.87
1.7,80,1,15,17985527.56
1.7,80,1,15.1,18556496.69
