# Transmission tube source spectra, Geant4 physics model G4EmLivermorePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,37.9,2492755.645
1.7,40,1,38,2492755.645
1.7,40,1,38.1,2181161.189
1.7,40,1,38.2,311594.4556
1.7,40,1,38.3,2181161.189
1.7,40,1,38.4,934783.3667
1.7,40,1,38.5,623188.9111
1.7,40,1,38.6,1557972.278
1.7,40,1,38.7,1246377.822
1.7,40,1,38.8,934783.3667
1.7,40,1,38.9,623188.9111
1.7,40,1,39,2181161.189
1.7,40,1,39.2,934783.3667
1.7,40,1,39.3,934783.3667
1.7,40,1,39.4,934783.3667
1.7,40,1,39.5,311594.4556
1.7,40,1,39.6,623188.9111
1.7,40,1,39.7,311594.4556
1.7,40,1,39.9,311594.4556
1.7,80,1,3.1,343613.6765
1.7,80,1,3.4,343613.6765
1.7,80,1,3.6,343613.6765
1.7,80,1,3.7,343613.6765
1.7,80,1,3.8,1374454.706
1.7,80,1,4,2405295.736
1.7,80,1,4.1,2748909.412
1.7,80,1,4.2,3779750.442
1.7,80,1,4.3,4810591.471
1.7,80,1,4.4,3436136.765
1.7,80,1,4.5,8246728.236
1.7,80,1,4.6,5154205.148
1.7,80,1,4.7,7559500.883
1.7,80,1,4.8,7903114.56
1.7,80,1,4.9,9964796.619
1.7,80,1,5,11682865
1.7,80,1,5.1,10652023.97
1.7,80,1,5.2,9964796.619
1.7,80,1,5.3,11682865
1.7,80,1,5.4,12370092.35
1.7,80,1,5.5,12713706.03
1.7,80,1,5.6,16149842.8
1.7,80,1,5.7,17180683.83
1.7,80,1,5.8,12713706.03
1.7,80,1,5.9,16493456.47
1.7,80,1,6,20960434.27
1.7,80,1,6.1,23022116.33
1.7,80,1,6.2,25427412.06
1.7,80,1,6.3,24396571.03
1.7,80,1,6.4,20273206.91
1.7,80,1,6.5,24740184.71
1.7,80,1,6.6,22334888.97
1.7,80,1,6.7,24396571.03
1.7,80,1,6.8,30238003.53
1.7,80,1,6.9,25771025.74
1.7,80,1,7,27145480.44
1.7,80,1,7.1,23022116.33
1.7,80,1,7.2,23022116.33
1.7,80,1,7.3,24740184.71
1.7,80,1,7.4,57727097.65
1.7,80,1,7.5,33674140.3
1.7,80,1,7.6,34361367.65
1.7,80,1,7.7,35392208.68
1.7,80,1,7.8,33674140.3
1.7,80,1,7.9,26801866.77
1.7,80,1,8,21647661.62
1.7,80,1,8.1,32299685.59
1.7,80,1,8.2,32986912.94
1.7,80,1,8.3,104802171.3
1.7,80,1,8.4,747016132.7
1.7,80,1,8.5,20960434.27
1.7,80,1,8.6,29550776.18
1.7,80,1,8.7,29894389.86
1.7,80,1,8.8,41233641.18
1.7,80,1,8.9,31956071.91
1.7,80,1,9,33330526.62
1.7,80,1,9.1,38141118.09
1.7,80,1,9.2,35735822.36
1.7,80,1,9.3,26458253.09
1.7,80,1,9.4,28176321.47
1.7,80,1,9.5,53260119.86
1.7,80,1,9.6,37110277.06
1.7,80,1,9.7,409931116.1
1.7,80,1,9.8,61850461.77
1.7,80,1,9.9,44669777.95
1.7,80,1,10,178335498.1
1.7,80,1,10.1,31956071.91
1.7,80,1,10.2,29550776.18
1.7,80,1,10.3,23709343.68
1.7,80,1,10.4,23022116.33
1.7,80,1,10.5,20960434.27
1.7,80,1,10.6,23022116.33
