# Measured source spectrum of ALS Beamline 8.3.2 (Advanced Light Source, LBNL).
# Non-uniform energy bins; energy_keV is the bin edge in keV, photon_counts the counts in the bin.
energy_keV,photon_counts
63.3291,1.04222e+12
64.2119,9.69525e+11
65.1069,9.00835e+11
66.0145,8.36003e+11
66.9347,7.74892e+11
67.8677,7.17361e+11
68.8138,6.63271e+11
69.773,6.12481e+11
70.7456,5.64853e+11
71.7318,5.20247e+11
72.7316,4.78529e+11
73.7455,4.39566e+11
74.7735,4.03225e+11
75.8158,3.6938e+11
76.8726,3.37901e+11
77.9442,3.08665e+11
79.0307,2.81554e+11
80.1323,2.56448e+11
81.2493,2.33237e+11
82.3819,2.11807e+11
83.5302,1.92053e+11
84.6946,1.73873e+11
85.8752,1.57168e+11
87.0723,1.41843e+11
88.286,1.27806e+11
89.5166,1.14969e+11
90.7645,1.03251e+11
92.0297,9.25724e+10
93.3125,8.28566e+10
94.6132,7.40324e+10
95.9321,6.60326e+10
97.2693,5.87925e+10
98.6252,5.22522e+10
100,4.63549e+10
