# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,80,1,16.7,23886291.19
1.7,80,1,16.8,22862593
1.7,80,1,16.9,22635104.51
1.7,80,1,17,25592454.85
1.7,80,1,17.1,27184874.26
1.7,80,1,17.2,24341268.17
1.7,80,1,17.3,22066383.29
1.7,80,1,17.4,25137477.88
1.7,80,1,17.5,22976337.24
1.7,80,1,17.6,24000035.44
1.7,80,1,17.7,24568756.66
1.7,80,1,17.8,21611406.32
1.7,80,1,17.9,19109032.96
1.7,80,1,18,25364966.36
1.7,80,1,18.1,22635104.51
1.7,80,1,18.2,21838894.81
1.7,80,1,18.3,22066383.29
1.7,80,1,18.4,21497662.07
1.7,80,1,18.5,21497662.07
1.7,80,1,18.6,20815196.61
1.7,80,1,18.7,20246475.39
1.7,80,1,18.8,21725150.56
1.7,80,1,18.9,22521360.27
1.7,80,1,19,23317569.98
1.7,80,1,19.1,22976337.24
1.7,80,1,19.2,19222777.2
1.7,80,1,19.3,20587708.12
1.7,80,1,19.4,24227523.93
1.7,80,1,19.5,19450265.69
1.7,80,1,19.6,21156429.34
1.7,80,1,19.7,19222777.2
1.7,80,1,19.8,17402869.3
1.7,80,1,19.9,20587708.12
1.7,80,1,20,22180127.54
1.7,80,1,20.1,18767800.22
1.7,80,1,20.2,23317569.98
1.7,80,1,20.3,20360219.64
1.7,80,1,20.4,18881544.47
1.7,80,1,20.5,21952639.05
1.7,80,1,20.6,18767800.22
1.7,80,1,20.7,19564009.93
1.7,80,1,20.8,18540311.74
1.7,80,1,20.9,21156429.34
1.7,80,1,21,18312823.25
1.7,80,1,21.1,16037938.37
1.7,80,1,21.2,17857846.27
1.7,80,1,21.3,20701452.37
1.7,80,1,21.4,18426567.49
1.7,80,1,21.5,20360219.64
1.7,80,1,21.6,20360219.64
1.7,80,1,21.7,18767800.22
1.7,80,1,21.8,17857846.27
1.7,80,1,21.9,18085334.76
1.7,80,1,22,19905242.66
1.7,80,1,22.1,18426567.49
1.7,80,1,22.2,21497662.07
1.7,80,1,22.3,18540311.74
1.7,80,1,22.4,18540311.74
1.7,80,1,22.5,19222777.2
1.7,80,1,22.6,19336521.44
1.7,80,1,22.7,18654055.98
1.7,80,1,22.8,16492915.35
1.7,80,1,22.9,18995288.71
1.7,80,1,23,15469217.15
1.7,80,1,23.1,19222777.2
1.7,80,1,23.2,17630357.79
1.7,80,1,23.3,18995288.71
1.7,80,1,23.4,19564009.93
1.7,80,1,23.5,19905242.66
