# Transmission tube source spectra, Geant4 physics model G4EmPenelopePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,80,1,10.4,18331876.85
1.7,80,1,10.5,26581221.44
1.7,80,1,10.6,18026345.57
1.7,80,1,10.7,27192284
1.7,80,1,10.8,23525908.63
1.7,80,1,10.9,19248470.7
1.7,80,1,11,27497815.28
1.7,80,1,11.1,15582095.33
1.7,80,1,11.2,24442502.47
1.7,80,1,11.3,111518917.5
1.7,80,1,11.4,20165064.54
1.7,80,1,11.5,20165064.54
1.7,80,1,11.6,36052691.14
1.7,80,1,11.7,32386315.77
1.7,80,1,11.8,17415283.01
1.7,80,1,11.9,18942939.41
1.7,80,1,12,25359096.31
1.7,80,1,12.1,20470595.82
1.7,80,1,12.2,19554001.98
1.7,80,1,12.3,18942939.41
1.7,80,1,12.4,20470595.82
1.7,80,1,12.5,19248470.7
1.7,80,1,12.6,20165064.54
1.7,80,1,12.7,20165064.54
1.7,80,1,12.8,23831439.91
1.7,80,1,12.9,22303783.5
1.7,80,1,13,21387189.66
1.7,80,1,13.1,16804220.45
1.7,80,1,13.2,20470595.82
1.7,80,1,13.3,18942939.41
1.7,80,1,13.4,17109751.73
1.7,80,1,13.5,21081658.38
1.7,80,1,13.6,18331876.85
1.7,80,1,13.7,22303783.5
1.7,80,1,13.8,15276564.04
1.7,80,1,13.9,16498689.17
1.7,80,1,14,18026345.57
1.7,80,1,14.1,17720814.29
1.7,80,1,14.2,21692720.94
1.7,80,1,14.3,16193157.89
1.7,80,1,14.4,22303783.5
1.7,80,1,14.5,22303783.5
1.7,80,1,14.6,19248470.7
1.7,80,1,14.7,17415283.01
1.7,80,1,14.8,16498689.17
1.7,80,1,14.9,17109751.73
1.7,80,1,15,18331876.85
1.7,80,1,15.1,14971032.76
1.7,80,1,15.2,16498689.17
1.7,80,1,15.3,14054438.92
1.7,80,1,15.4,13748907.64
1.7,80,1,15.5,14665501.48
1.7,80,1,15.6,18637408.13
1.7,80,1,15.7,19248470.7
1.7,80,1,15.8,17720814.29
1.7,80,1,15.9,18331876.85
1.7,80,1,16,14665501.48
1.7,80,1,16.1,17720814.29
1.7,80,1,16.2,14971032.76
1.7,80,1,16.3,15582095.33
1.7,80,1,16.4,16498689.17
1.7,80,1,16.5,17415283.01
1.7,80,1,16.6,12221251.24
1.7,80,1,16.7,17415283.01
1.7,80,1,16.8,12221251.24
1.7,80,1,16.9,13137845.08
1.7,80,1,17,15276564.04
1.7,80,1,17.1,17720814.29
1.7,80,1,17.2,16498689.17
1.7,80,1,17.3,18942939.41
1.7,80,1,17.4,18637408.13
1.7,80,1,17.5,12526782.52
1.7,80,1,17.6,15887626.61
1.7,80,1,17.7,12221251.24
1.7,80,1,17.8,14665501.48
1.7,80,1,17.9,13748907.64
1.7,80,1,18,14054438.92
1.7,80,1,18.1,13748907.64
1.7,80,1,18.2,16804220.45
1.7,80,1,18.3,15276564.04
1.7,80,1,18.4,14359970.2
1.7,80,1,18.5,12221251.24
1.7,80,1,18.6,12832313.8
1.7,80,1,18.7,15276564.04
1.7,80,1,18.8,17415283.01
1.7,80,1,18.9,10693594.83
1.7,80,1,19,11915719.95
1.7,80,1,19.1,10388063.55
1.7,80,1,19.2,12221251.24
1.7,80,1,19.3,13443376.36
1.7,80,1,19.4,11915719.95
